district_id,month_closed,tier
2802400,2024-04-17,1
2802700,2024-05-09,2
2803180,2024-05-15,2
2803210,2024-04-09,2
2803510,2024-04-11,2
2803780,2024-05-13,2
2804650,2024-04-10,1
2804802,2024-04-22,1
2909900,2024-04-10,3
2911550,2024-04-08,3
2912010,2024-04-10,4
2913320,2024-05-08,3
2915510,2024-04-30,3
2921000,2024-07-30,4
2925210,2024-05-13,4
2925640,2024-05-07,4
2926670,2025-02-26,4
2926850,2025-01-27,4
2928380,2025-01-14,1
2928470,2025-04-25,1
2928920,2024-10-18,3
2930660,2024-03-27,4
2931650,2024-06-17,4
3100076,2024-05-16,3
3100122,2024-12-01,1
3103540,2024-05-07,3
3104950,2024-03-27,3
3105460,2024-04-25,4
3171220,2024-07-31,4
3171580,2024-04-19,3
3171610,2024-07-15,3
3171820,2024-05-17,4
3172840,2024-06-24,4
3173440,2024-07-09,3
3174580,2024-05-20,4
3175510,2024-04-11,4
3178240,2024-05-31,4
3200001,2024-08-07,1
3200060,2024-04-05,2
3200120,2024-03-26,2
3200210,2024-03-26,2
3200270,2024-03-27,2
3200300,2024-03-26,1
3200360,2024-05-20,2
3302610,2024-04-25,2
3302990,2024-05-03,1
3305310,2024-06-07,1
3305820,2024-04-02,2
3307360,2024-04-10,1
3400070,2024-05-16,1
3400078,2024-09-01,1
3400744,2024-12-11,1
3401260,2024-05-08,1
3401290,2024-05-08,1
3401830,2024-04-02,1
3402730,2024-07-01,1
3403000,2025-04-10,1
3403360,2024-05-09,1
3404020,2024-05-08,1
3404170,2024-05-21,1
3404380,2024-05-06,1
3405970,2024-05-14,1
3406330,2024-05-10,1
3406540,2024-05-08,1
3406660,2024-05-16,1
3407230,2024-05-09,1
3407950,2024-05-09,1
3408040,2024-05-09,1
3408430,2024-05-09,1
3408520,2024-05-10,1
3409000,2024-06-26,1
3409030,2024-05-15,1
3410080,2024-04-04,1
3410140,2024-05-09,1
3410200,2024-04-20,1
3410380,2024-08-01,1
3410560,2024-05-10,1
3411220,2024-07-08,1
3411340,2024-03-26,1
3411610,2024-05-13,1
3411970,2024-05-09,1
3413140,2024-04-11,1
3414400,2024-04-05,1
3415090,2024-03-27,2
3415210,2024-04-03,1
3415630,2024-05-08,1
3416470,2024-05-14,1
3416650,2024-05-17,1
3416710,2024-05-09,1
3417130,2024-03-27,1
3418120,2024-04-08,1
3500010,2024-06-11,2
3500660,2024-05-01,2
3500930,2024-04-11,2
3501500,2024-04-25,2
3600137,2024-05-09,1
3600153,2024-05-24,2
3600160,2024-05-23,1
3601030,2024-04-02,1
3603270,2024-05-31,3
3607230,2025-03-20,1
3611740,2024-05-16,2
3612630,2024-07-29,3
3614430,2024-03-26,1
3616560,2024-03-26,2
3617380,2025-02-06,1
3619380,2024-06-07,2
3620490,2024-04-12,2
3621360,2024-03-26,2
3621630,2025-04-04,1
3621900,2024-03-31,2
3623220,2025-03-06,1
3624150,2024-03-26,1
3624210,2025-04-29,1
3624750,2025-05-06,4
3624840,2024-05-13,2
3626010,2024-05-05,2
3627240,2024-04-23,3
3627810,2024-05-08,1
3628650,2024-03-25,2
3629280,2024-08-05,2
3630120,2025-03-19,1
3630660,2024-03-26,1
3630930,2024-04-17,2
3680820,2024-05-16,1
3700011,2024-04-11,3
3700086,2024-05-09,3
3700089,2024-07-03,2
3700108,2024-05-08,2
3700121,2024-03-27,3
3700472,2024-03-26,1
3700477,2024-06-06,1
3700530,2025-05-04,4
3700630,2024-08-26,4
3700780,2024-08-14,4
3700960,2024-03-27,4
3701080,2024-03-26,4
3701170,2024-05-10,4
3701200,2024-06-04,4
3701500,2025-03-20,3
3701530,2025-05-05,3
3701620,2024-05-07,3
3701920,2024-03-27,4
3702250,2024-07-15,4
3702370,2024-04-18,4
3702880,2024-04-01,4
3703090,2025-04-23,3
3703930,2025-03-24,4
3704530,2025-04-22,3
3704740,2024-03-27,3
3800018,2024-03-21,4
3800025,2024-03-27,4
3800027,2024-06-12,4
3800031,2024-04-16,3
3800036,2024-09-04,4
3800040,2024-04-10,4
3800041,2024-03-27,3
3800042,2024-11-07,3
3800059,2024-10-03,3
3800405,2024-06-06,4
3801760,2024-07-24,4
3806910,2024-03-20,3
3807590,2024-06-19,3
3809570,2024-03-20,3
3811700,1899-12-30,3
3812920,2024-05-14,4
3813400,2024-05-14,4
3813510,2024-05-17,3
3814340,2024-05-17,3
3814940,2024-10-29,3
3816430,2024-05-21,4
3816470,2024-05-17,3
3817570,2024-06-19,3
3818280,2024-03-20,4
3818730,2024-05-17,3
3819290,2024-04-25,4
3819470,2024-04-12,4
3900567,2024-09-02,2
3904378,2024-03-26,4
